InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536558,21755,  LOVE BUILDING BLOCK WORD  ,7,07-01-2019,5.5,15744.0,netherlands
537635,84406B,CREAM CUPID HEARTS COAT HANGER,7,2019-12-06 17:30:00,2.9,15358.0,australia
536499,21755,love building block word,12,2019-01-24 20:40:00,6.33,14469.0,Portugal
536516,22752,  SET 7 BABUSHKA NESTING BOXES  ,15,24/12/2019 11:02,7.11,18076.0,Australia
537470,22960,JAM MAKING SET WITH JARS,15,2019-04-03 12:04:00,5.39,12564.0,Portugal
537002,22752,SET 7 BABUSHKA NESTING BOXES,15,05-04-2019,7.12,17190.0,Portugal
537205,85123A,white hanging heart t-light holder,15,27/06/2019 03:08,2.63,16171.0,France
537243,84879,ASSORTED COLOUR BIRD ORNAMENT,9,2019-03-04 09:11:00,1.78,12495.0,france
537421,21755,love building block word,19,01-27-2019,5.52,17379.0,  Netherlands  
537017,85123A,WHITE HANGING HEART T-LIGHT HOLDER,13,05-29-2019,2.74,13314.0,United Kingdom
536149,22423,REGENCY CAKESTAND 3 TIER,11,05-04-2019,12.21,14036.0,Belgium
537599,21755,love building block word,13,2019-01-10 22:29:00,6.03,18178.0,Netherlands
536534,22752,SET 7 BABUSHKA NESTING BOXES,13,2019-06-03 00:25:00,7.21,14694.0,Switzerland
537205,22960,JAM MAKING SET WITH JARS,6,03-27-2019,5.38,17823.0,United Kingdom
536189,85123A,white hanging heart t-light holder,14,08-07-2019,2.74,17850.0,Belgium
536544,22752,SET 7 BABUSHKA NESTING BOXES,3,13/01/2019 12:08,7.78,17849.0,Switzerland
536048,71270,PINK CRYSTAL GUITAR PHONE CHARM,10,2019-07-08 02:31:00,1.26,12476.0,EIRE
536721,84879,ASSORTED COLOUR BIRD ORNAMENT,19,20/03/2019 08:15,1.56,14129.0,  France  
537157,22752,SET 7 BABUSHKA NESTING BOXES,17,2019-03-20 04:05:00,7.62,14061.0,Switzerland
537485,71053,WHITE METAL LANTERN,11,2019-03-20 05:34:00,3.66,12885.0,Spain
536731,71270,PINK CRYSTAL GUITAR PHONE CHARM,13,2019-01-30 16:13:00,1.31,,  Germany  
536653,22960,JAM MAKING SET WITH JARS,3,13/02/2019 12:10,4.73,17808.0,France
537253,21755,LOVE BUILDING BLOCK WORD,17,2019-08-24 09:23:00,5.42,17785.0,Portugal
537284,85123A,  WHITE HANGING HEART T-LIGHT HOLDER  ,16,2019-06-28 05:49:00,2.68,13903.0,Germany
536057,22423,REGENCY CAKESTAND 3 TIER,15,12-24-2019,12.85,14405.0,  Portugal  
537379,84406B,CREAM CUPID HEARTS COAT HANGER,15,03-28-2019,3.01,15258.0,United Kingdom
536528,84406B,cream cupid hearts coat hanger,9,2019-06-17 03:37:00,2.66,15814.0,Switzerland
536713,71270,PINK CRYSTAL GUITAR PHONE CHARM,8,2019-09-03 21:33:00,1.22,17795.0,Spain
536512,21755,  LOVE BUILDING BLOCK WORD  ,18,2019-10-07 19:18:00,6.23,14063.0,Switzerland
537011,22752,SET 7 BABUSHKA NESTING BOXES,7,2019-03-16 20:53:00,8.11,13396.0,Netherlands
536156,71053,  WHITE METAL LANTERN  ,10,2019-05-31 09:47:00,3.48,16377.0,  Switzerland  
537439,22752,  SET 7 BABUSHKA NESTING BOXES  ,9,2019-09-25 02:59:00,7.88,15111.0,Belgium
537304,22960,JAM MAKING SET WITH JARS,17,2019-12-08 00:48:00,4.77,14331.0,Belgium
537478,71053,WHITE METAL LANTERN,3,2019-12-25 11:11:00,3.51,,Netherlands
536995,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,18/05/2019 03:24,4.36,,Spain
536894,21730,glass star frosted t-light holder,7,01-11-2019,4.16,16297.0,EIRE
537043,22423,regency cakestand 3 tier,10,2019-07-01 02:29:00,12.31,13707.0,France
536447,85123A,WHITE HANGING HEART T-LIGHT HOLDER,16,06/08/2019 03:29,2.46,15257.0,  Australia  
536224,84879,ASSORTED COLOUR BIRD ORNAMENT,16,12-11-2019,1.53,17906.0,Portugal
537637,71053,WHITE METAL LANTERN,9,08/01/2019 09:54,3.05,17806.0,  France  
536548,71053,white metal lantern,9,2019-06-01 23:15:00,3.56,12428.0,Australia
537648,22752,SET 7 BABUSHKA NESTING BOXES,2,2019-11-11 09:33:00,7.42,,Australia
537022,21730,  GLASS STAR FROSTED T-LIGHT HOLDER  ,14,2019-03-08 12:10:00,3.91,16520.0,Germany
537433,71270,pink crystal guitar phone charm,11,2019-12-06 09:26:00,1.19,12414.0,Australia
537181,84879,assorted colour bird ornament,11,11-22-2019,1.8,15066.0,United Kingdom
537625,22960,JAM MAKING SET WITH JARS,18,01/09/2019 13:58,4.53,16434.0,Australia
537226,22960,jam making set with jars,11,2019-11-28 00:49:00,5.19,16886.0,EIRE
537424,84879,ASSORTED COLOUR BIRD ORNAMENT,10,2019-03-12 02:13:00,1.75,14962.0,australia
537210,85123A,WHITE HANGING HEART T-LIGHT HOLDER,19,2019-08-14 22:41:00,2.62,16294.0,portugal
536262,84406B,CREAM CUPID HEARTS COAT HANGER,16,01-13-2019,2.83,12746.0,Switzerland
536266,84406B,CREAM CUPID HEARTS COAT HANGER,11,20/03/2019 15:32,2.86,16860.0,EIRE
536253,84879,  ASSORTED COLOUR BIRD ORNAMENT  ,8,09-03-2019,1.83,14989.0,spain
537656,21755,love building block word,3,2019-04-12 00:45:00,5.72,13560.0,Spain
537040,84879,  ASSORTED COLOUR BIRD ORNAMENT  ,17,29/06/2019 00:00,1.59,18166.0,france
537149,22960,JAM MAKING SET WITH JARS,5,2019-04-16 05:58:00,5.09,15862.0,Belgium
536742,84406B,  CREAM CUPID HEARTS COAT HANGER  ,12,2019-10-13 10:21:00,2.7,,France
536406,71270,PINK CRYSTAL GUITAR PHONE CHARM,14,09-16-2019,1.27,14080.0,Netherlands
536869,84406B,CREAM CUPID HEARTS COAT HANGER,5,12/07/2019 22:01,2.98,17976.0,Spain
537251,21755,LOVE BUILDING BLOCK WORD,8,06-11-2019,6.38,16606.0,EIRE
536427,22960,JAM MAKING SET WITH JARS,5,2019-05-12 20:59:00,4.93,18125.0,Netherlands
536687,84879,ASSORTED COLOUR BIRD ORNAMENT,14,2019-01-26 16:30:00,1.8,16816.0,  France  
536428,84406B,CREAM CUPID HEARTS COAT HANGER,7,01-29-2019,2.93,16950.0,  Spain  
537517,21755,love building block word,1,01-08-2019,5.78,,Australia
536932,21755,LOVE BUILDING BLOCK WORD,13,2019-04-21 15:32:00,6.06,13260.0,belgium
536782,84406B,CREAM CUPID HEARTS COAT HANGER,5,09/05/2019 15:06,2.48,14802.0,Portugal
536402,22423,REGENCY CAKESTAND 3 TIER,8,02/11/2019 04:17,12.5,18130.0,Spain
537395,21755,LOVE BUILDING BLOCK WORD,14,2019-05-23 21:17:00,6.12,16116.0,  Belgium  
537665,71270,PINK CRYSTAL GUITAR PHONE CHARM,13,06-09-2019,1.23,16844.0,Belgium
537085,71053,WHITE METAL LANTERN,17,2019-10-31 14:35:00,3.35,15905.0,Germany
536091,21730,  GLASS STAR FROSTED T-LIGHT HOLDER  ,1,15/06/2019 19:08,4.11,13143.0,portugal
537596,22960,JAM MAKING SET WITH JARS,3,26/12/2019 23:42,5.09,18140.0,Portugal
536148,21755,LOVE BUILDING BLOCK WORD,5,09/09/2019 07:55,6.36,18007.0,belgium
536794,22752,  SET 7 BABUSHKA NESTING BOXES  ,19,2019-01-30 22:00:00,7.64,17300.0,  EIRE  
537418,22960,JAM MAKING SET WITH JARS,3,2019-01-05 21:53:00,4.47,12540.0,France
536488,84879,assorted colour bird ornament,12,12/06/2019 13:18,1.69,17906.0,France
537298,22423,REGENCY CAKESTAND 3 TIER,2,16/06/2019 16:39,12.02,13434.0,germany
536053,71053,WHITE METAL LANTERN,12,11/06/2019 00:06,3.63,,Netherlands
536246,22960,JAM MAKING SET WITH JARS,3,2019-04-29 05:57:00,4.47,16392.0,Australia
536359,84406B,CREAM CUPID HEARTS COAT HANGER,5,2019-04-13 00:04:00,2.93,14986.0,Belgium
537258,22960,JAM MAKING SET WITH JARS,9,09/04/2019 11:03,5.1,18093.0,France
536572,21730,  GLASS STAR FROSTED T-LIGHT HOLDER  ,9,2019-02-21 05:26:00,4.12,14838.0,netherlands
536129,71053,WHITE METAL LANTERN,6,2019-05-14 03:08:00,3.24,,  Spain  
537465,22752,SET 7 BABUSHKA NESTING BOXES,4,05/11/2019 20:32,8.41,17282.0,united kingdom
536001,85123A,WHITE HANGING HEART T-LIGHT HOLDER,11,2019-11-10 19:51:00,2.33,13990.0,Belgium
536245,71053,WHITE METAL LANTERN,19,02-17-2019,3.2,18228.0,germany
537448,22423,REGENCY CAKESTAND 3 TIER,18,12/11/2019 22:19,12.72,14313.0,Portugal
536818,21755,  LOVE BUILDING BLOCK WORD  ,16,2019-09-13 12:48:00,6.44,16486.0,  Spain  
536817,22960,  JAM MAKING SET WITH JARS  ,12,04/05/2019 23:12,4.51,14376.0,Germany
C536347,21730,  GLASS STAR FROSTED T-LIGHT HOLDER  ,-11,2019-11-19 23:05:00,4.22,13536.0,Switzerland
537576,22960,JAM MAKING SET WITH JARS,19,10/02/2019 18:15,5.24,14163.0,germany
536205,22423,REGENCY CAKESTAND 3 TIER,17,05-01-2019,13.21,14714.0,Netherlands
537631,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,11-24-2019,2.5,15934.0,France
536071,22423,regency cakestand 3 tier,17,2019-03-30 05:05:00,13.8,14381.0,Spain
537531,21730,GLASS STAR FROSTED T-LIGHT HOLDER,19,10-27-2019,4.19,14346.0,Netherlands
536027,71270,PINK CRYSTAL GUITAR PHONE CHARM,14,02/12/2019 03:10,1.34,18004.0,  Belgium  
537484,71270,,10,2019-08-10 20:00:00,1.23,18038.0,Netherlands
536123,22423,REGENCY CAKESTAND 3 TIER,9,25/09/2019 14:13,11.65,13775.0,France
536398,21730,GLASS STAR FROSTED T-LIGHT HOLDER,19,01/03/2019 07:39,4.56,16571.0,Switzerland
537230,84879,  ASSORTED COLOUR BIRD ORNAMENT  ,8,2019-02-19 13:27:00,1.7,14510.0,France
537335,21755,LOVE BUILDING BLOCK WORD,4,24/04/2019 22:45,6.24,13821.0,Belgium
537131,71053,WHITE METAL LANTERN,8,2019-12-13 15:49:00,3.24,13671.0,belgium
C536886,22960,JAM MAKING SET WITH JARS,-19,2019-11-04 13:08:00,5.34,17701.0,  EIRE  
537577,71053,WHITE METAL LANTERN,12,13/01/2019 18:34,3.56,14109.0,Belgium
536221,84406B,CREAM CUPID HEARTS COAT HANGER,8,2019-07-16 02:32:00,2.79,16877.0,France
C536320,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-19,05-17-2019,2.55,16133.0,Switzerland
537643,22752,,5,18/10/2019 15:49,7.76,14443.0,EIRE
536756,21755,LOVE BUILDING BLOCK WORD,9,2019-11-08 02:49:00,5.78,17669.0,France
536139,71053,WHITE METAL LANTERN,14,21/01/2019 21:02,3.35,13458.0,Netherlands
536269,84406B,CREAM CUPID HEARTS COAT HANGER,13,2019-03-03 10:32:00,2.74,13759.0,  Germany  
537250,22960,JAM MAKING SET WITH JARS,9,2019-10-16 03:40:00,4.89,13381.0,eire
536797,84879,assorted colour bird ornament,13,2019-06-12 05:53:00,1.71,16345.0,Portugal
536262,21730,  GLASS STAR FROSTED T-LIGHT HOLDER  ,7,25/05/2019 04:28,3.93,15214.0,eire
537448,84879,assorted colour bird ornament,3,02-23-2019,1.54,14660.0,Belgium
536233,21730,glass star frosted t-light holder,19,2019-08-11 01:28:00,4.24,15026.0,Netherlands
537565,84879,ASSORTED COLOUR BIRD ORNAMENT,6,29/05/2019 16:41,1.57,16037.0,United Kingdom
536739,84406B,cream cupid hearts coat hanger,1,05-22-2019,2.9,17166.0,EIRE
537273,84406B,CREAM CUPID HEARTS COAT HANGER,4,02/09/2019 20:45,2.91,15359.0,australia
537039,84406B,CREAM CUPID HEARTS COAT HANGER,5,2019-03-02 17:35:00,2.59,15541.0,france
536247,71053,WHITE METAL LANTERN,11,04-04-2019,3.18,13533.0,Belgium
537542,21755,love building block word,8,29/05/2019 13:45,6.5,15255.0,  Netherlands  
536820,71270,PINK CRYSTAL GUITAR PHONE CHARM,4,26/12/2019 20:02,1.26,15214.0,EIRE
536856,84879,ASSORTED COLOUR BIRD ORNAMENT,12,2019-06-10 04:30:00,1.64,14163.0,  Germany  
536280,84879,ASSORTED COLOUR BIRD ORNAMENT,7,2019-04-11 14:02:00,1.64,17477.0,Netherlands
536396,22752,SET 7 BABUSHKA NESTING BOXES,8,2019-05-28 01:33:00,8.4,17787.0,Australia
536064,71270,PINK CRYSTAL GUITAR PHONE CHARM,12,2019-11-24 18:33:00,1.17,18258.0,Portugal
537155,22960,jam making set with jars,3,2019-03-15 08:36:00,5.36,14694.0,Spain
536480,22960,JAM MAKING SET WITH JARS,2,06/05/2019 17:52,5.36,,australia
536536,21730,GLASS STAR FROSTED T-LIGHT HOLDER,3,2019-07-10 14:22:00,4.6,16170.0,EIRE
536289,21755,  LOVE BUILDING BLOCK WORD  ,11,2019-05-17 13:15:00,5.84,16439.0,Spain
537059,84879,  ASSORTED COLOUR BIRD ORNAMENT  ,13,28/08/2019 03:39,1.69,17148.0,france
536381,22960,JAM MAKING SET WITH JARS,13,12-12-2019,5.24,16770.0,Australia
537613,22960,JAM MAKING SET WITH JARS,17,2019-02-12 14:38:00,5.41,16937.0,France
536109,22423,REGENCY CAKESTAND 3 TIER,12,2019-08-14 00:55:00,11.49,17904.0,Belgium
537599,84879,ASSORTED COLOUR BIRD ORNAMENT,8,07-05-2019,1.8,13612.0,Spain
536955,71053,white metal lantern,16,26/04/2019 09:34,3.56,16416.0,EIRE
537572,84406B,CREAM CUPID HEARTS COAT HANGER,15,05/04/2019 03:21,2.54,16151.0,Belgium
537450,84406B,CREAM CUPID HEARTS COAT HANGER,17,2019-01-14 11:47:00,2.89,17992.0,France
537199,22960,JAM MAKING SET WITH JARS,9,2019-09-03 17:42:00,5.34,18102.0,France
537267,84879,ASSORTED COLOUR BIRD ORNAMENT,12,22/04/2019 06:35,1.75,14865.0,  Spain  
536792,22423,  REGENCY CAKESTAND 3 TIER  ,12,2019-06-16 13:41:00,13.07,16455.0,Germany
536904,84406B,CREAM CUPID HEARTS COAT HANGER,12,2019-10-26 16:11:00,2.85,13146.0,spain
536177,22423,regency cakestand 3 tier,8,24/12/2019 08:08,12.46,14375.0,EIRE
537152,21730,GLASS STAR FROSTED T-LIGHT HOLDER,8,12-20-2019,3.83,17853.0,United Kingdom
537263,21755,LOVE BUILDING BLOCK WORD,3,2019-02-08 17:47:00,5.65,13394.0,EIRE
536961,22423,  REGENCY CAKESTAND 3 TIER  ,17,2019-05-03 10:16:00,11.6,16578.0,Portugal
537552,21730,glass star frosted t-light holder,4,19/11/2019 05:27,4.51,14899.0,Switzerland
537137,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,12/10/2019 08:00,2.49,15894.0,Germany
536674,71270,PINK CRYSTAL GUITAR PHONE CHARM,9,22/02/2019 08:08,1.15,16739.0,United Kingdom
537190,22752,SET 7 BABUSHKA NESTING BOXES,7,06-02-2019,7.45,15266.0,Spain
536724,84406B,  CREAM CUPID HEARTS COAT HANGER  ,3,2019-07-14 03:58:00,2.67,,germany
536955,22960,JAM MAKING SET WITH JARS,17,11-18-2019,5.18,16896.0,EIRE
536826,22423,REGENCY CAKESTAND 3 TIER,17,12-30-2019,12.12,15069.0,  EIRE  
536904,71053,WHITE METAL LANTERN,12,2019-07-08 21:30:00,3.54,13659.0,france
537227,22423,REGENCY CAKESTAND 3 TIER,3,01/03/2019 16:10,13.37,13952.0,france
536633,22752,  SET 7 BABUSHKA NESTING BOXES  ,18,09-09-2019,8.39,13176.0,  United Kingdom  
537107,84406B,  CREAM CUPID HEARTS COAT HANGER  ,19,2019-03-11 21:41:00,2.83,13514.0,Australia
537252,21755,LOVE BUILDING BLOCK WORD,4,2019-11-13 20:18:00,5.61,13404.0,united kingdom
537107,21730,GLASS STAR FROSTED T-LIGHT HOLDER,13,11/04/2019 00:15,3.99,17894.0,France
C537490,71270,PINK CRYSTAL GUITAR PHONE CHARM,-9,11-27-2019,1.21,14192.0,United Kingdom
536941,84406B,CREAM CUPID HEARTS COAT HANGER,10,2019-07-22 23:01:00,3.02,17147.0,  Portugal  
536672,84879,  ASSORTED COLOUR BIRD ORNAMENT  ,3,2019-01-11 10:10:00,1.85,13523.0,Netherlands
537017,22752,SET 7 BABUSHKA NESTING BOXES,7,18/09/2019 19:07,7.11,15047.0,United Kingdom
536437,21730,,5,06-12-2019,4.51,,Portugal
537122,21755,love building block word,1,2019-04-03 10:42:00,5.51,14059.0,Netherlands
536679,84406B,CREAM CUPID HEARTS COAT HANGER,17,04/10/2019 05:47,2.59,13904.0,  EIRE  
537440,84406B,CREAM CUPID HEARTS COAT HANGER,7,2019-12-27 15:03:00,2.77,16457.0,Germany
536157,22423,REGENCY CAKESTAND 3 TIER,11,23/12/2019 07:35,11.53,13011.0,Germany
536559,84879,assorted colour bird ornament,6,15/01/2019 15:02,1.73,14622.0,Portugal
537313,71270,  PINK CRYSTAL GUITAR PHONE CHARM  ,6,09/04/2019 16:58,1.14,16968.0,France
536928,22960,JAM MAKING SET WITH JARS,17,2019-05-13 11:29:00,5.35,12711.0,Germany
537619,71270,PINK CRYSTAL GUITAR PHONE CHARM,12,10-21-2019,1.13,14372.0,Switzerland
536108,84879,  ASSORTED COLOUR BIRD ORNAMENT  ,5,2019-10-04 18:07:00,1.71,15509.0,france
537276,71270,PINK CRYSTAL GUITAR PHONE CHARM,7,2019-04-27 09:58:00,1.31,17017.0,netherlands
536977,84406B,  CREAM CUPID HEARTS COAT HANGER  ,19,2019-03-24 20:04:00,2.54,17682.0,Australia
C537127,22423,REGENCY CAKESTAND 3 TIER,-5,08-08-2019,11.73,15340.0,Germany
536337,21730,GLASS STAR FROSTED T-LIGHT HOLDER,7,2019-06-10 22:47:00,4.43,13420.0,Belgium
536925,21755,LOVE BUILDING BLOCK WORD,17,11-21-2019,5.47,17659.0,Belgium
536046,21730,glass star frosted t-light holder,4,2019-12-10 01:04:00,4.6,16101.0,france
536134,85123A,white hanging heart t-light holder,9,2019-09-13 06:04:00,2.52,,Switzerland
537528,71053,WHITE METAL LANTERN,6,12-21-2019,3.52,14575.0,  Spain  
536158,84406B,CREAM CUPID HEARTS COAT HANGER,13,2019-09-08 01:33:00,2.63,12406.0,United Kingdom
536476,21755,LOVE BUILDING BLOCK WORD,15,23/04/2019 01:38,5.43,16339.0,Portugal
536778,71053,WHITE METAL LANTERN,2,2019-08-01 20:04:00,3.05,14437.0,France
536994,71053,WHITE METAL LANTERN,18,2019-06-27 08:37:00,3.73,16848.0,Switzerland
537603,84406B,CREAM CUPID HEARTS COAT HANGER,12,07-29-2019,2.54,12899.0,Netherlands
536817,84406B,  CREAM CUPID HEARTS COAT HANGER  ,5,2019-07-03 16:34:00,2.95,13557.0,united kingdom
537149,84406B,CREAM CUPID HEARTS COAT HANGER,3,2019-12-05 10:33:00,2.82,15922.0,portugal
537311,22960,  JAM MAKING SET WITH JARS  ,11,30/08/2019 18:11,4.99,17662.0,Belgium
536151,84879,ASSORTED COLOUR BIRD ORNAMENT,15,2019-11-05 19:54:00,1.6,15101.0,netherlands
537135,22423,REGENCY CAKESTAND 3 TIER,1,11-17-2019,13.04,15756.0,  EIRE  
537390,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,2019-11-09 22:54:00,2.7,12710.0,France
536409,84406B,  CREAM CUPID HEARTS COAT HANGER  ,13,19/10/2019 02:53,2.59,13647.0,  Spain  
537521,71053,WHITE METAL LANTERN,11,2019-11-15 20:51:00,3.19,12828.0,EIRE
536353,22752,SET 7 BABUSHKA NESTING BOXES,8,2019-06-18 12:53:00,8.21,16065.0,Belgium
536742,21730,glass star frosted t-light holder,19,2019-11-29 09:45:00,4.03,12819.0,Portugal
536405,84879,ASSORTED COLOUR BIRD ORNAMENT,13,07/08/2019 07:02,1.56,14713.0,france
537059,22423,REGENCY CAKESTAND 3 TIER,7,11/03/2019 15:54,12.12,15205.0,France
537364,84879,  ASSORTED COLOUR BIRD ORNAMENT  ,17,2019-05-31 15:30:00,1.74,13132.0,Portugal
536786,21755,love building block word,12,2019-12-08 18:31:00,5.9,13487.0,Netherlands
536187,22960,JAM MAKING SET WITH JARS,8,2019-09-12 06:17:00,4.65,14171.0,Belgium
537482,22960,  JAM MAKING SET WITH JARS  ,10,06/06/2019 09:23,4.67,16628.0,Germany
536811,22960,JAM MAKING SET WITH JARS,1,2019-05-03 14:55:00,4.63,13984.0,Belgium
536069,84879,  ASSORTED COLOUR BIRD ORNAMENT  ,17,2019-08-15 14:39:00,1.61,13446.0,Netherlands
536444,21730,GLASS STAR FROSTED T-LIGHT HOLDER,14,09/04/2019 19:54,4.39,13751.0,France
536396,85123A,WHITE HANGING HEART T-LIGHT HOLDER,7,2019-10-25 22:10:00,2.54,13606.0,Netherlands
537347,71270,PINK CRYSTAL GUITAR PHONE CHARM,5,20/12/2019 19:00,1.36,16967.0,United Kingdom
537585,21730,GLASS STAR FROSTED T-LIGHT HOLDER,1,05-20-2019,4.53,14680.0,  Switzerland  
537124,71053,WHITE METAL LANTERN,10,2019-11-26 04:30:00,3.72,13371.0,  Switzerland  
537655,21730,glass star frosted t-light holder,2,2019-08-29 21:00:00,4.26,15874.0,Australia
