InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,IsCancelled,IsGuestCheckout,TotalPrice
537452,22752,SET 7 BABUSHKA NESTING BOXES,17,2019-02-04 00:00:00,8.31,13421,United Kingdom,False,False,141.27
537359,22423,REGENCY CAKESTAND 3 TIER,19,2019-11-05 00:00:00,13.91,14612,Switzerland,False,False,264.29
C536921,84406B,CREAM CUPID HEARTS COAT HANGER,-17,2019-05-28 07:36:00,2.71,17798,Switzerland,True,False,-46.07
537268,71270,PINK CRYSTAL GUITAR PHONE CHARM,4,2019-09-05 00:00:00,1.29,18272,Netherlands,False,False,5.16
536684,21755,LOVE BUILDING BLOCK WORD,17,2019-02-15 09:56:00,6.04,17043,Portugal,False,False,102.68
537338,21755,LOVE BUILDING BLOCK WORD,7,2019-06-13 00:00:00,6.48,13686,Portugal,False,False,45.36
536207,71270,PINK CRYSTAL GUITAR PHONE CHARM,3,2019-11-25 23:01:00,1.28,13457,Spain,False,False,3.84
537615,22960,JAM MAKING SET WITH JARS,6,2019-04-18 00:00:00,4.76,,Germany,False,True,28.56
536590,22423,REGENCY CAKESTAND 3 TIER,13,2019-03-03 17:53:00,13.4,13611,France,False,False,174.2
536153,71270,PINK CRYSTAL GUITAR PHONE CHARM,1,2019-05-14 18:27:00,1.23,15546,Switzerland,False,False,1.23
536785,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2019-05-05 13:38:00,2.31,14753,France,False,False,4.62
536597,85123A,WHITE HANGING HEART T-LIGHT HOLDER,18,2019-05-05 17:13:00,2.51,16256,Germany,False,False,45.18
537531,22960,JAM MAKING SET WITH JARS,3,2019-03-19 07:29:00,4.53,12756,Belgium,False,False,13.59
C536266,84406B,CREAM CUPID HEARTS COAT HANGER,-11,2019-07-26 03:42:00,2.53,15725,Australia,True,False,-27.83
536710,22423,REGENCY CAKESTAND 3 TIER,15,2019-08-07 15:24:00,12.15,14872,United Kingdom,False,False,182.25
536394,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,2019-02-28 07:35:00,2.5,14739,Australia,False,False,30.0
536558,21755,LOVE BUILDING BLOCK WORD,7,2019-07-01 00:00:00,5.5,15744,Netherlands,False,False,38.5
537635,84406B,CREAM CUPID HEARTS COAT HANGER,7,2019-12-06 17:30:00,2.9,15358,Australia,False,False,20.3
536499,21755,LOVE BUILDING BLOCK WORD,12,2019-01-24 20:40:00,6.33,14469,Portugal,False,False,75.96
536516,22752,SET 7 BABUSHKA NESTING BOXES,15,2019-12-24 11:02:00,7.11,18076,Australia,False,False,106.65
537470,22960,JAM MAKING SET WITH JARS,15,2019-04-03 12:04:00,5.39,12564,Portugal,False,False,80.85
537002,22752,SET 7 BABUSHKA NESTING BOXES,15,2019-05-04 00:00:00,7.12,17190,Portugal,False,False,106.8
537205,85123A,WHITE HANGING HEART T-LIGHT HOLDER,15,2019-06-27 03:08:00,2.63,16171,France,False,False,39.45
537243,84879,ASSORTED COLOUR BIRD ORNAMENT,9,2019-03-04 09:11:00,1.78,12495,France,False,False,16.02
537421,21755,LOVE BUILDING BLOCK WORD,19,2019-01-27 00:00:00,5.52,17379,Netherlands,False,False,104.88
537017,85123A,WHITE HANGING HEART T-LIGHT HOLDER,13,2019-05-29 00:00:00,2.74,13314,United Kingdom,False,False,35.62
536149,22423,REGENCY CAKESTAND 3 TIER,11,2019-05-04 00:00:00,12.21,14036,Belgium,False,False,134.31
537599,21755,LOVE BUILDING BLOCK WORD,13,2019-01-10 22:29:00,6.03,18178,Netherlands,False,False,78.39
536534,22752,SET 7 BABUSHKA NESTING BOXES,13,2019-06-03 00:25:00,7.21,14694,Switzerland,False,False,93.73
537205,22960,JAM MAKING SET WITH JARS,6,2019-03-27 00:00:00,5.38,17823,United Kingdom,False,False,32.28
536189,85123A,WHITE HANGING HEART T-LIGHT HOLDER,14,2019-08-07 00:00:00,2.74,17850,Belgium,False,False,38.36
536544,22752,SET 7 BABUSHKA NESTING BOXES,3,2019-01-13 12:08:00,7.78,17849,Switzerland,False,False,23.34
536048,71270,PINK CRYSTAL GUITAR PHONE CHARM,10,2019-07-08 02:31:00,1.26,12476,EIRE,False,False,12.6
536721,84879,ASSORTED COLOUR BIRD ORNAMENT,19,2019-03-20 08:15:00,1.56,14129,France,False,False,29.64
537157,22752,SET 7 BABUSHKA NESTING BOXES,17,2019-03-20 04:05:00,7.62,14061,Switzerland,False,False,129.54
537485,71053,WHITE METAL LANTERN,11,2019-03-20 05:34:00,3.66,12885,Spain,False,False,40.26
536731,71270,PINK CRYSTAL GUITAR PHONE CHARM,13,2019-01-30 16:13:00,1.31,,Germany,False,True,17.03
536653,22960,JAM MAKING SET WITH JARS,3,2019-02-13 12:10:00,4.73,17808,France,False,False,14.19
537253,21755,LOVE BUILDING BLOCK WORD,17,2019-08-24 09:23:00,5.42,17785,Portugal,False,False,92.14
537284,85123A,WHITE HANGING HEART T-LIGHT HOLDER,16,2019-06-28 05:49:00,2.68,13903,Germany,False,False,42.88
536057,22423,REGENCY CAKESTAND 3 TIER,15,2019-12-24 00:00:00,12.85,14405,Portugal,False,False,192.75
537379,84406B,CREAM CUPID HEARTS COAT HANGER,15,2019-03-28 00:00:00,3.01,15258,United Kingdom,False,False,45.15
536528,84406B,CREAM CUPID HEARTS COAT HANGER,9,2019-06-17 03:37:00,2.66,15814,Switzerland,False,False,23.94
536713,71270,PINK CRYSTAL GUITAR PHONE CHARM,8,2019-09-03 21:33:00,1.22,17795,Spain,False,False,9.76
536512,21755,LOVE BUILDING BLOCK WORD,18,2019-10-07 19:18:00,6.23,14063,Switzerland,False,False,112.14
537011,22752,SET 7 BABUSHKA NESTING BOXES,7,2019-03-16 20:53:00,8.11,13396,Netherlands,False,False,56.77
536156,71053,WHITE METAL LANTERN,10,2019-05-31 09:47:00,3.48,16377,Switzerland,False,False,34.8
537439,22752,SET 7 BABUSHKA NESTING BOXES,9,2019-09-25 02:59:00,7.88,15111,Belgium,False,False,70.92
537304,22960,JAM MAKING SET WITH JARS,17,2019-12-08 00:48:00,4.77,14331,Belgium,False,False,81.09
537478,71053,WHITE METAL LANTERN,3,2019-12-25 11:11:00,3.51,,Netherlands,False,True,10.53
536995,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,2019-05-18 03:24:00,4.36,,Spain,False,True,17.44
536894,21730,GLASS STAR FROSTED T-LIGHT HOLDER,7,2019-01-11 00:00:00,4.16,16297,EIRE,False,False,29.12
537043,22423,REGENCY CAKESTAND 3 TIER,10,2019-07-01 02:29:00,12.31,13707,France,False,False,123.1
536447,85123A,WHITE HANGING HEART T-LIGHT HOLDER,16,2019-08-06 03:29:00,2.46,15257,Australia,False,False,39.36
536224,84879,ASSORTED COLOUR BIRD ORNAMENT,16,2019-12-11 00:00:00,1.53,17906,Portugal,False,False,24.48
537637,71053,WHITE METAL LANTERN,9,2019-01-08 09:54:00,3.05,17806,France,False,False,27.45
536548,71053,WHITE METAL LANTERN,9,2019-06-01 23:15:00,3.56,12428,Australia,False,False,32.04
537648,22752,SET 7 BABUSHKA NESTING BOXES,2,2019-11-11 09:33:00,7.42,,Australia,False,True,14.84
537022,21730,GLASS STAR FROSTED T-LIGHT HOLDER,14,2019-03-08 12:10:00,3.91,16520,Germany,False,False,54.74
537433,71270,PINK CRYSTAL GUITAR PHONE CHARM,11,2019-12-06 09:26:00,1.19,12414,Australia,False,False,13.09
537181,84879,ASSORTED COLOUR BIRD ORNAMENT,11,2019-11-22 00:00:00,1.8,15066,United Kingdom,False,False,19.8
537625,22960,JAM MAKING SET WITH JARS,18,2019-09-01 13:58:00,4.53,16434,Australia,False,False,81.54
537226,22960,JAM MAKING SET WITH JARS,11,2019-11-28 00:49:00,5.19,16886,EIRE,False,False,57.09
537424,84879,ASSORTED COLOUR BIRD ORNAMENT,10,2019-03-12 02:13:00,1.75,14962,Australia,False,False,17.5
537210,85123A,WHITE HANGING HEART T-LIGHT HOLDER,19,2019-08-14 22:41:00,2.62,16294,Portugal,False,False,49.78
536262,84406B,CREAM CUPID HEARTS COAT HANGER,16,2019-01-13 00:00:00,2.83,12746,Switzerland,False,False,45.28
536266,84406B,CREAM CUPID HEARTS COAT HANGER,11,2019-03-20 15:32:00,2.86,16860,EIRE,False,False,31.46
536253,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2019-09-03 00:00:00,1.83,14989,Spain,False,False,14.64
537656,21755,LOVE BUILDING BLOCK WORD,3,2019-04-12 00:45:00,5.72,13560,Spain,False,False,17.16
537040,84879,ASSORTED COLOUR BIRD ORNAMENT,17,2019-06-29 00:00:00,1.59,18166,France,False,False,27.03
537149,22960,JAM MAKING SET WITH JARS,5,2019-04-16 05:58:00,5.09,15862,Belgium,False,False,25.45
536742,84406B,CREAM CUPID HEARTS COAT HANGER,12,2019-10-13 10:21:00,2.7,,France,False,True,32.4
536406,71270,PINK CRYSTAL GUITAR PHONE CHARM,14,2019-09-16 00:00:00,1.27,14080,Netherlands,False,False,17.78
536869,84406B,CREAM CUPID HEARTS COAT HANGER,5,2019-07-12 22:01:00,2.98,17976,Spain,False,False,14.9
537251,21755,LOVE BUILDING BLOCK WORD,8,2019-06-11 00:00:00,6.38,16606,EIRE,False,False,51.04
536427,22960,JAM MAKING SET WITH JARS,5,2019-05-12 20:59:00,4.93,18125,Netherlands,False,False,24.65
536687,84879,ASSORTED COLOUR BIRD ORNAMENT,14,2019-01-26 16:30:00,1.8,16816,France,False,False,25.2
536428,84406B,CREAM CUPID HEARTS COAT HANGER,7,2019-01-29 00:00:00,2.93,16950,Spain,False,False,20.51
537517,21755,LOVE BUILDING BLOCK WORD,1,2019-01-08 00:00:00,5.78,,Australia,False,True,5.78
536932,21755,LOVE BUILDING BLOCK WORD,13,2019-04-21 15:32:00,6.06,13260,Belgium,False,False,78.78
536782,84406B,CREAM CUPID HEARTS COAT HANGER,5,2019-05-09 15:06:00,2.48,14802,Portugal,False,False,12.4
536402,22423,REGENCY CAKESTAND 3 TIER,8,2019-11-02 04:17:00,12.5,18130,Spain,False,False,100.0
537395,21755,LOVE BUILDING BLOCK WORD,14,2019-05-23 21:17:00,6.12,16116,Belgium,False,False,85.68
537665,71270,PINK CRYSTAL GUITAR PHONE CHARM,13,2019-06-09 00:00:00,1.23,16844,Belgium,False,False,15.99
537085,71053,WHITE METAL LANTERN,17,2019-10-31 14:35:00,3.35,15905,Germany,False,False,56.95
536091,21730,GLASS STAR FROSTED T-LIGHT HOLDER,1,2019-06-15 19:08:00,4.11,13143,Portugal,False,False,4.11
537596,22960,JAM MAKING SET WITH JARS,3,2019-12-26 23:42:00,5.09,18140,Portugal,False,False,15.27
536148,21755,LOVE BUILDING BLOCK WORD,5,2019-09-09 07:55:00,6.36,18007,Belgium,False,False,31.8
536794,22752,SET 7 BABUSHKA NESTING BOXES,19,2019-01-30 22:00:00,7.64,17300,EIRE,False,False,145.16
537418,22960,JAM MAKING SET WITH JARS,3,2019-01-05 21:53:00,4.47,12540,France,False,False,13.41
536488,84879,ASSORTED COLOUR BIRD ORNAMENT,12,2019-06-12 13:18:00,1.69,17906,France,False,False,20.28
537298,22423,REGENCY CAKESTAND 3 TIER,2,2019-06-16 16:39:00,12.02,13434,Germany,False,False,24.04
536053,71053,WHITE METAL LANTERN,12,2019-06-11 00:06:00,3.63,,Netherlands,False,True,43.56
536246,22960,JAM MAKING SET WITH JARS,3,2019-04-29 05:57:00,4.47,16392,Australia,False,False,13.41
536359,84406B,CREAM CUPID HEARTS COAT HANGER,5,2019-04-13 00:04:00,2.93,14986,Belgium,False,False,14.65
537258,22960,JAM MAKING SET WITH JARS,9,2019-04-09 11:03:00,5.1,18093,France,False,False,45.9
536572,21730,GLASS STAR FROSTED T-LIGHT HOLDER,9,2019-02-21 05:26:00,4.12,14838,Netherlands,False,False,37.08
536129,71053,WHITE METAL LANTERN,6,2019-05-14 03:08:00,3.24,,Spain,False,True,19.44
537465,22752,SET 7 BABUSHKA NESTING BOXES,4,2019-11-05 20:32:00,8.41,17282,United Kingdom,False,False,33.64
536001,85123A,WHITE HANGING HEART T-LIGHT HOLDER,11,2019-11-10 19:51:00,2.33,13990,Belgium,False,False,25.63
536245,71053,WHITE METAL LANTERN,19,2019-02-17 00:00:00,3.2,18228,Germany,False,False,60.8
537448,22423,REGENCY CAKESTAND 3 TIER,18,2019-11-12 22:19:00,12.72,14313,Portugal,False,False,228.96
536818,21755,LOVE BUILDING BLOCK WORD,16,2019-09-13 12:48:00,6.44,16486,Spain,False,False,103.04
536817,22960,JAM MAKING SET WITH JARS,12,2019-05-04 23:12:00,4.51,14376,Germany,False,False,54.12
C536347,21730,GLASS STAR FROSTED T-LIGHT HOLDER,-11,2019-11-19 23:05:00,4.22,13536,Switzerland,True,False,-46.42
537576,22960,JAM MAKING SET WITH JARS,19,2019-02-10 18:15:00,5.24,14163,Germany,False,False,99.56
536205,22423,REGENCY CAKESTAND 3 TIER,17,2019-05-01 00:00:00,13.21,14714,Netherlands,False,False,224.57
537631,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,2019-11-24 00:00:00,2.5,15934,France,False,False,12.5
536071,22423,REGENCY CAKESTAND 3 TIER,17,2019-03-30 05:05:00,13.8,14381,Spain,False,False,234.6
537531,21730,GLASS STAR FROSTED T-LIGHT HOLDER,19,2019-10-27 00:00:00,4.19,14346,Netherlands,False,False,79.61
536027,71270,PINK CRYSTAL GUITAR PHONE CHARM,14,2019-12-02 03:10:00,1.34,18004,Belgium,False,False,18.76
537484,71270,PINK CRYSTAL GUITAR PHONE CHARM,10,2019-08-10 20:00:00,1.23,18038,Netherlands,False,False,12.3
536123,22423,REGENCY CAKESTAND 3 TIER,9,2019-09-25 14:13:00,11.65,13775,France,False,False,104.85
536398,21730,GLASS STAR FROSTED T-LIGHT HOLDER,19,2019-03-01 07:39:00,4.56,16571,Switzerland,False,False,86.64
537230,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2019-02-19 13:27:00,1.7,14510,France,False,False,13.6
537335,21755,LOVE BUILDING BLOCK WORD,4,2019-04-24 22:45:00,6.24,13821,Belgium,False,False,24.96
537131,71053,WHITE METAL LANTERN,8,2019-12-13 15:49:00,3.24,13671,Belgium,False,False,25.92
C536886,22960,JAM MAKING SET WITH JARS,-19,2019-11-04 13:08:00,5.34,17701,EIRE,True,False,-101.46
537577,71053,WHITE METAL LANTERN,12,2019-01-13 18:34:00,3.56,14109,Belgium,False,False,42.72
536221,84406B,CREAM CUPID HEARTS COAT HANGER,8,2019-07-16 02:32:00,2.79,16877,France,False,False,22.32
C536320,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-19,2019-05-17 00:00:00,2.55,16133,Switzerland,True,False,-48.45
537643,22752,SET 7 BABUSHKA NESTING BOXES,5,2019-10-18 15:49:00,7.76,14443,EIRE,False,False,38.8
536756,21755,LOVE BUILDING BLOCK WORD,9,2019-11-08 02:49:00,5.78,17669,France,False,False,52.02
536139,71053,WHITE METAL LANTERN,14,2019-01-21 21:02:00,3.35,13458,Netherlands,False,False,46.9
536269,84406B,CREAM CUPID HEARTS COAT HANGER,13,2019-03-03 10:32:00,2.74,13759,Germany,False,False,35.62
537250,22960,JAM MAKING SET WITH JARS,9,2019-10-16 03:40:00,4.89,13381,EIRE,False,False,44.01
536797,84879,ASSORTED COLOUR BIRD ORNAMENT,13,2019-06-12 05:53:00,1.71,16345,Portugal,False,False,22.23
536262,21730,GLASS STAR FROSTED T-LIGHT HOLDER,7,2019-05-25 04:28:00,3.93,15214,EIRE,False,False,27.51
537448,84879,ASSORTED COLOUR BIRD ORNAMENT,3,2019-02-23 00:00:00,1.54,14660,Belgium,False,False,4.62
536233,21730,GLASS STAR FROSTED T-LIGHT HOLDER,19,2019-08-11 01:28:00,4.24,15026,Netherlands,False,False,80.56
537565,84879,ASSORTED COLOUR BIRD ORNAMENT,6,2019-05-29 16:41:00,1.57,16037,United Kingdom,False,False,9.42
536739,84406B,CREAM CUPID HEARTS COAT HANGER,1,2019-05-22 00:00:00,2.9,17166,EIRE,False,False,2.9
537273,84406B,CREAM CUPID HEARTS COAT HANGER,4,2019-09-02 20:45:00,2.91,15359,Australia,False,False,11.64
537039,84406B,CREAM CUPID HEARTS COAT HANGER,5,2019-03-02 17:35:00,2.59,15541,France,False,False,12.95
536247,71053,WHITE METAL LANTERN,11,2019-04-04 00:00:00,3.18,13533,Belgium,False,False,34.98
537542,21755,LOVE BUILDING BLOCK WORD,8,2019-05-29 13:45:00,6.5,15255,Netherlands,False,False,52.0
536820,71270,PINK CRYSTAL GUITAR PHONE CHARM,4,2019-12-26 20:02:00,1.26,15214,EIRE,False,False,5.04
536856,84879,ASSORTED COLOUR BIRD ORNAMENT,12,2019-06-10 04:30:00,1.64,14163,Germany,False,False,19.68
536280,84879,ASSORTED COLOUR BIRD ORNAMENT,7,2019-04-11 14:02:00,1.64,17477,Netherlands,False,False,11.48
536396,22752,SET 7 BABUSHKA NESTING BOXES,8,2019-05-28 01:33:00,8.4,17787,Australia,False,False,67.2
536064,71270,PINK CRYSTAL GUITAR PHONE CHARM,12,2019-11-24 18:33:00,1.17,18258,Portugal,False,False,14.04
537155,22960,JAM MAKING SET WITH JARS,3,2019-03-15 08:36:00,5.36,14694,Spain,False,False,16.08
536480,22960,JAM MAKING SET WITH JARS,2,2019-05-06 17:52:00,5.36,,Australia,False,True,10.72
536536,21730,GLASS STAR FROSTED T-LIGHT HOLDER,3,2019-07-10 14:22:00,4.6,16170,EIRE,False,False,13.8
536289,21755,LOVE BUILDING BLOCK WORD,11,2019-05-17 13:15:00,5.84,16439,Spain,False,False,64.24
537059,84879,ASSORTED COLOUR BIRD ORNAMENT,13,2019-08-28 03:39:00,1.69,17148,France,False,False,21.97
536381,22960,JAM MAKING SET WITH JARS,13,2019-12-12 00:00:00,5.24,16770,Australia,False,False,68.12
537613,22960,JAM MAKING SET WITH JARS,17,2019-02-12 14:38:00,5.41,16937,France,False,False,91.97
536109,22423,REGENCY CAKESTAND 3 TIER,12,2019-08-14 00:55:00,11.49,17904,Belgium,False,False,137.88
537599,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2019-07-05 00:00:00,1.8,13612,Spain,False,False,14.4
536955,71053,WHITE METAL LANTERN,16,2019-04-26 09:34:00,3.56,16416,EIRE,False,False,56.96
537572,84406B,CREAM CUPID HEARTS COAT HANGER,15,2019-04-05 03:21:00,2.54,16151,Belgium,False,False,38.1
537450,84406B,CREAM CUPID HEARTS COAT HANGER,17,2019-01-14 11:47:00,2.89,17992,France,False,False,49.13
537199,22960,JAM MAKING SET WITH JARS,9,2019-09-03 17:42:00,5.34,18102,France,False,False,48.06
537267,84879,ASSORTED COLOUR BIRD ORNAMENT,12,2019-04-22 06:35:00,1.75,14865,Spain,False,False,21.0
536792,22423,REGENCY CAKESTAND 3 TIER,12,2019-06-16 13:41:00,13.07,16455,Germany,False,False,156.84
536904,84406B,CREAM CUPID HEARTS COAT HANGER,12,2019-10-26 16:11:00,2.85,13146,Spain,False,False,34.2
536177,22423,REGENCY CAKESTAND 3 TIER,8,2019-12-24 08:08:00,12.46,14375,EIRE,False,False,99.68
537152,21730,GLASS STAR FROSTED T-LIGHT HOLDER,8,2019-12-20 00:00:00,3.83,17853,United Kingdom,False,False,30.64
537263,21755,LOVE BUILDING BLOCK WORD,3,2019-02-08 17:47:00,5.65,13394,EIRE,False,False,16.95
536961,22423,REGENCY CAKESTAND 3 TIER,17,2019-05-03 10:16:00,11.6,16578,Portugal,False,False,197.2
537552,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,2019-11-19 05:27:00,4.51,14899,Switzerland,False,False,18.04
537137,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2019-10-12 08:00:00,2.49,15894,Germany,False,False,9.96
536674,71270,PINK CRYSTAL GUITAR PHONE CHARM,9,2019-02-22 08:08:00,1.15,16739,United Kingdom,False,False,10.35
537190,22752,SET 7 BABUSHKA NESTING BOXES,7,2019-06-02 00:00:00,7.45,15266,Spain,False,False,52.15
536724,84406B,CREAM CUPID HEARTS COAT HANGER,3,2019-07-14 03:58:00,2.67,,Germany,False,True,8.01
536955,22960,JAM MAKING SET WITH JARS,17,2019-11-18 00:00:00,5.18,16896,EIRE,False,False,88.06
536826,22423,REGENCY CAKESTAND 3 TIER,17,2019-12-30 00:00:00,12.12,15069,EIRE,False,False,206.04
536904,71053,WHITE METAL LANTERN,12,2019-07-08 21:30:00,3.54,13659,France,False,False,42.48
537227,22423,REGENCY CAKESTAND 3 TIER,3,2019-03-01 16:10:00,13.37,13952,France,False,False,40.11
536633,22752,SET 7 BABUSHKA NESTING BOXES,18,2019-09-09 00:00:00,8.39,13176,United Kingdom,False,False,151.02
537107,84406B,CREAM CUPID HEARTS COAT HANGER,19,2019-03-11 21:41:00,2.83,13514,Australia,False,False,53.77
537252,21755,LOVE BUILDING BLOCK WORD,4,2019-11-13 20:18:00,5.61,13404,United Kingdom,False,False,22.44
537107,21730,GLASS STAR FROSTED T-LIGHT HOLDER,13,2019-04-11 00:15:00,3.99,17894,France,False,False,51.87
C537490,71270,PINK CRYSTAL GUITAR PHONE CHARM,-9,2019-11-27 00:00:00,1.21,14192,United Kingdom,True,False,-10.89
536941,84406B,CREAM CUPID HEARTS COAT HANGER,10,2019-07-22 23:01:00,3.02,17147,Portugal,False,False,30.2
536672,84879,ASSORTED COLOUR BIRD ORNAMENT,3,2019-01-11 10:10:00,1.85,13523,Netherlands,False,False,5.55
537017,22752,SET 7 BABUSHKA NESTING BOXES,7,2019-09-18 19:07:00,7.11,15047,United Kingdom,False,False,49.77
536437,21730,GLASS STAR FROSTED T-LIGHT HOLDER,5,2019-06-12 00:00:00,4.51,,Portugal,False,True,22.55
537122,21755,LOVE BUILDING BLOCK WORD,1,2019-04-03 10:42:00,5.51,14059,Netherlands,False,False,5.51
536679,84406B,CREAM CUPID HEARTS COAT HANGER,17,2019-10-04 05:47:00,2.59,13904,EIRE,False,False,44.03
537440,84406B,CREAM CUPID HEARTS COAT HANGER,7,2019-12-27 15:03:00,2.77,16457,Germany,False,False,19.39
536157,22423,REGENCY CAKESTAND 3 TIER,11,2019-12-23 07:35:00,11.53,13011,Germany,False,False,126.83
